NO;ID;CD;D;S;EV;A;AG;SEX;EL;FOA;FSA;EPG;Species
2299;shika;40;21;0.35285222;0.132088877;9;adult;male;1492;471;4;404.7217538;Tri
2201;shiso;25;10;0.36528611;0.065697063;14;adult;female;1551;447;4;180.7228916;Tri
2252;shiso;30;10;0.36528611;0.065697063;14;adult;female;1551;447;4;68.02721088;Tri
2286;shiso;38;10;0.36528611;0.065697063;14;adult;female;1551;447;4;331.5571344;Tri
2303;shiso;42;10;0.36528611;0.065697063;14;adult;female;1551;447;4;159.6806387;Tri
2146;toga;14;11;0.71953542;0.898793408;13;adult;female;615;445;4;50.64893954;Tri
2216;toga;25;11;0.71953542;0.898793408;13;adult;female;615;445;4;316.8316832;Tri
2259;toga;32;11;0.71953542;0.898793408;13;adult;female;615;445;4;415.1696607;Tri
2263;toga;35;11;0.71953542;0.898793408;13;adult;female;615;445;4;831.4773571;Tri
2209;tsuwa;25;16;0.31094998;0.079017008;6;adult;female;1202;481;4;0;Tri
2238;tsuwa;29;16;0.31094998;0.079017008;6;adult;female;1202;481;4;0;Tri
2274;tsuwa;35;16;0.31094998;0.079017008;6;adult;female;1202;481;4;46.83840749;Tri
2279;tsuwa;36;16;0.31094998;0.079017008;6;adult;female;1202;481;4;0;Tri
2185;usu;21;16;0.70190495;0.88855826;17;adult;female;798;410;4;27.43484225;Tri
2244;usu;30;16;0.70190495;0.88855826;17;adult;female;798;410;4;58.16066885;Tri
2288;usu;38;16;0.70190495;0.88855826;17;adult;female;798;410;4;180.1801802;Tri
2324;usu;43;16;0.70190495;0.88855826;17;adult;female;798;410;4;158.7301587;Tri
2135;yamu;12;18;0.74098186;0.350350816;19;adult;female;1509;488;4;0;Tri
2140;yamu;13;18;0.74098186;0.350350816;19;adult;female;1509;488;4;0;Tri
2198;yamu;24;18;0.74098186;0.350350816;19;adult;female;1509;488;4;0;Tri
2284;yamu;38;18;0.74098186;0.350350816;19;adult;female;1509;488;4;41.88481675;Tri
2130;yashi;10;10;0.72677929;0.165119228;21;adult;female;1516;447;4;0;Tri
2152;yashi;14;10;0.72677929;0.165119228;21;adult;female;1516;447;4;0;Tri
2253;yashi;30;10;0.72677929;0.165119228;21;adult;female;1516;447;4;0;Tri
2264;yashi;35;10;0.72677929;0.165119228;21;adult;female;1516;447;4;0;Tri
2170;yone;19;21;0.43814805;0.426382563;7;adult;female;1083;445;4;0;Tri
2199;yone;24;21;0.43814805;0.426382563;7;adult;female;1083;445;4;0;Tri
2229;yone;29;21;0.43814805;0.426382563;7;adult;female;1083;445;4;0;Tri
2266;yone;35;21;0.43814805;0.426382563;7;adult;female;1083;445;4;0;Tri
2158;yuna;16;7;0.3550599;0.042972482;7;adult;female;674;452;4;434.5679012;Tri
2217;yuna;25;7;0.3550599;0.042972482;7;adult;female;674;452;4;491.7456972;Tri
2222;yuna;26;7;0.3550599;0.042972482;7;adult;female;674;452;4;382.5136612;Tri
2231;yuna;29;7;0.3550599;0.042972482;7;adult;female;674;452;4;131.36289;Tri
2162;betei;16;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;0;Tri
2175;betei;19;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;1970.649895;Tri
2213;betei;25;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;65.04065041;Tri
2254;betei;31;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;0;Tri
2134;binega;11;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;913.5399674;Tri
2143;binega;14;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;479.930192;Tri
2226;binega;29;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;43.57298475;Tri
2242;binega;30;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;480.2744425;Tri
2261;bon;32;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;585.3658537;Tri
2312;bon;42;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;382.0439351;Tri
2332;bon;44;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;0;Tri
2337;bon;45;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;139.4700139;Tri
2184;botan;21;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;2196.969697;Tri
2270;botan;35;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;1720.430108;Tri
2307;botan;42;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;3859.649123;Tri
2335;botan;44;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;1519.318926;Tri
2136;hado;12;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;0;Tri
2206;hado;25;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;0;Tri
2234;hado;29;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;0;Tri
2247;hado;30;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;0;Tri
2125;haku;9;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;1966.426859;Tri
2138;haku;12;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;3457.814661;Tri
2155;haku;16;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;2286.018075;Tri
2246;haku;30;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;6416.0401;Tri
2177;hiba;19;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;0;Tri
2196;hiba;24;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;1177.856302;Tri
2204;hiba;25;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;1879.303362;Tri
2239;hiba;30;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;2606.781154;Tri
